Município,Área (km²),UF,Região,Microrregião,Lat,Lng,Location,Color,https://www.geosheets.com/map/s:V64O1lbZ/mapa-GO
Campestre de Goiás,274,GO,Sul,Vale do Rio dos Bois,-16.76,-49.69,"-16.76,-49.69",gold,
Campinaçu,"1,974",GO,Norte,Porangatu,-13.79,-48.57,"-13.79,-48.57",orange,
Campinorte,"1,068",GO,Norte,Porangatu,-14.31,-49.15,"-14.31,-49.15",orange,
Campo Alegre de Goiás,"2,463",GO,Sul,Catalão,-17.63,-47.78,"-17.63,-47.78",gold,
Campo Limpo de Goiás,156,GO,Centro,Anápolis,-16.25,-49.09,"-16.25,-49.09",red,
Campos Belos,724,GO,Norte,Chapada dos Veadeiros,-13.03,-46.77,"-13.03,-46.77",orange,
Campos Verdes,442,GO,Norte,Porangatu,-14.25,-49.65,"-14.25,-49.65",orange,
Carmo do Rio Verde,456,GO,Centro,Ceres,-15.35,-49.7,"-15.35,-49.7",red,
Castelândia,297,GO,Sul,Sudoeste de Goiás,-18.09,-50.2,"-18.09,-50.2",gold,
Catalão,"3,778",GO,Sul,Catalão,-18.17,-47.94,"-18.17,-47.94",gold,
Caturaí,207,GO,Centro,Anápolis,-16.44,-49.49,"-16.44,-49.49",red,
Cavalcante,"6,954",GO,Norte,Chapada dos Veadeiros,-13.79,-47.45,"-13.79,-47.45",orange,
Ceres,213,GO,Centro,Ceres,-15.3,-49.59,"-15.3,-49.59",red,
Cezarina,416,GO,Sul,Vale do Rio dos Bois,-16.97,-49.77,"-16.97,-49.77",gold,
Chapadão do Céu,"2,355",GO,Sul,Sudoeste de Goiás,-18.4,-52.54,"-18.4,-52.54",gold,
Cidade Ocidental,388,GO,Leste,Entorno do Distrito Federal,-16.07,-47.92,"-16.07,-47.92",purple,
Cocalzinho de Goiás,"1,788",GO,Leste,Entorno do Distrito Federal,-15.79,-48.77,"-15.79,-48.77",purple,
Colinas do Sul,"1,708",GO,Norte,Chapada dos Veadeiros,-14.15,-48.07,"-14.15,-48.07",orange,
Córrego do Ouro,462,GO,Centro,Iporá,-16.29,-50.54,"-16.29,-50.54",red,
Corumbá de Goiás,"1,062",GO,Leste,Entorno do Distrito Federal,-15.92,-48.8,"-15.92,-48.8",purple,
Corumbaíba,"1,884",GO,Sul,Catalão,-18.14,-48.56,"-18.14,-48.56",gold,
Cristalina,"6,161",GO,Leste,Entorno do Distrito Federal,-16.76,-47.61,"-16.76,-47.61",purple,
Cristianópolis,225,GO,Sul,Pires do Rio,-17.19,-48.7,"-17.19,-48.7",gold,
Crixás,"4,661",GO,Noroeste,São Miguel do Araguaia,-14.54,-49.96,"-14.54,-49.96",blue,
Cromínia,370,GO,Sul,Meia Ponte,-17.28,-49.38,"-17.28,-49.38",gold,
Cumari,580,GO,Sul,Catalão,-18.26,-48.15,"-18.26,-48.15",gold,
Damianópolis,415,GO,Leste,Vão do Paraná,-14.56,-46.17,"-14.56,-46.17",purple,
Damolândia,85,GO,Centro,Anápolis,-16.25,-49.37,"-16.25,-49.37",red,
Davinópolis,520,GO,Sul,Catalão,-18.15,-47.56,"-18.15,-47.56",gold,
Diorama,687,GO,Noroeste,Aragarças,-16.23,-51.25,"-16.23,-51.25",blue,
Divinópolis de Goiás,831,GO,Norte,Vão do Paranã,-13.29,-46.39,"-13.29,-46.39",orange,
Doverlândia,"3,208",GO,Sul,Sudoeste de Goiás,-16.72,-52.31,"-16.72,-52.31",gold,
Edealina,604,GO,Sul,Vale do Rio dos Bois,-17.42,-49.66,"-17.42,-49.66",gold,
Edéia,"1,462",GO,Sul,Vale do Rio dos Bois,-17.33,-49.93,"-17.33,-49.93",gold,
Estrela do Norte,302,GO,Norte,Porangatu,-13.86,-49.07,"-13.86,-49.07",orange,
